vnid,vintage,date,price
1000535,2019,2021-07-01,55
1000535,2019,2021-09-01,55
1000535,2019,2021-10-01,48
1000535,2019,2021-11-01,47
1000535,2019,2021-12-01,47
1000535,2019,2022-01-01,47
1000535,2019,2022-02-01,49
1000535,2019,2022-03-01,51
1000535,2019,2022-04-01,50
1000535,2019,2022-05-01,57
1000535,2019,2022-06-01,56
1000535,2019,2022-07-01,57
1000535,2019,2022-08-01,58
1000535,2019,2022-09-01,59
1000535,2019,2022-10-01,59
1000535,2007,2009-06-01,45
1000535,2007,2009-09-01,44
1000535,2007,2009-12-01,54
1000535,2007,2010-01-01,54
1000535,2007,2010-03-01,43
1000535,2007,2010-06-01,44
1000535,2007,2010-09-01,45
1000535,2007,2010-12-01,49
1000535,2007,2011-01-01,44
1000535,2007,2011-02-01,41
1000535,2007,2011-06-01,39
1000535,2007,2012-01-01,36
1000535,2007,2012-03-01,33
1000535,2007,2012-06-01,35
1000535,2007,2012-09-01,31
1000535,2007,2012-12-01,33
1000535,2007,2013-01-01,30
1000535,2007,2013-03-01,24
1000535,2007,2013-06-01,24
1000535,2007,2013-09-01,27
1000535,2007,2013-12-01,36
1000535,2007,2014-01-01,36
1000535,2007,2014-03-01,45
1000535,2007,2014-06-01,45
1000535,2007,2014-09-01,45
1000535,2007,2014-12-01,41
1000535,2007,2015-01-01,41
1000535,2007,2015-03-01,41
1000535,2007,2015-06-01,41
1000535,2007,2015-09-01,41
1000535,2007,2015-12-01,37
1000535,2007,2016-01-01,37
1000535,2007,2016-02-01,37
1000535,2007,2016-06-01,37
1000535,2007,2016-09-01,37
1000535,2007,2016-12-01,37
1000535,2007,2017-01-01,37
1000535,2007,2017-03-01,37
1000535,2007,2017-06-01,37
1000535,2007,2017-09-01,48
1000535,2007,2020-06-01,50
1000535,2007,2021-04-01,46
1000535,2007,2021-06-01,66
1000535,2007,2021-10-01,75
1000535,2004,2007-03-01,32
1000535,2004,2007-09-01,37
1000535,2004,2008-01-01,36
1000535,2004,2008-04-01,32
1000535,2004,2008-06-01,34
1000535,2004,2008-09-01,33
1000535,2004,2008-12-01,27
1000535,2004,2009-01-01,30
1000535,2004,2009-03-01,28
1000535,2004,2009-06-01,32
1000535,2004,2009-09-01,28
1000535,2004,2009-12-01,38
1000535,2004,2010-01-01,38
1000535,2004,2010-03-01,38
1000535,2004,2010-06-01,45
1000535,2004,2010-09-01,40
1000535,2004,2010-12-01,49
1000535,2004,2011-01-01,37
1000535,2004,2011-02-01,35
1000535,2004,2011-06-01,29
1000535,2004,2011-09-01,29
1000535,2004,2012-01-01,27
1000535,2004,2012-03-01,29
1000535,2004,2012-06-01,34
1000535,2004,2012-09-01,37
1000535,2004,2012-12-01,33
1000535,2004,2013-01-01,33
1000535,2004,2013-03-01,33
1000535,2004,2013-06-01,35
1000535,2004,2013-09-01,35
1000535,2004,2013-12-01,37
1000535,2004,2014-01-01,37
1000535,2004,2014-03-01,35
1000535,2004,2014-06-01,35
1000535,2004,2014-09-01,35
1000535,2004,2014-12-01,33
1000535,2004,2015-01-01,33
1000535,2004,2015-03-01,33
1000535,2004,2015-06-01,33
1000535,2004,2015-09-01,33
1000535,2004,2015-12-01,33
1000535,2004,2016-01-01,33
1000535,2004,2016-02-01,33
1000535,2004,2016-06-01,33
1000535,2004,2016-09-01,33
1000535,2004,2016-12-01,33
1000535,2004,2017-01-01,33
1000535,2004,2017-03-01,33
1000535,2004,2017-06-01,31
1000535,2004,2017-09-01,30
1000535,2004,2018-06-01,36
1000535,2004,2018-09-01,35
1000535,2004,2018-12-01,35
1000535,2004,2019-01-01,35
1000535,2004,2019-03-01,35
1000535,2004,2019-06-01,35
1000535,2004,2019-09-01,35
1000535,2004,2020-12-01,39
1000535,2004,2021-01-01,39
1000535,2004,2021-02-01,39
1000535,2004,2021-03-01,40
1000535,2018,2020-09-01,58
1000535,2018,2020-12-01,53
1000535,2018,2021-01-01,49
1000535,2018,2021-02-01,50
1000535,2018,2021-03-01,50
1000535,2018,2021-04-01,49
1000535,2018,2021-05-01,59
1000535,2018,2021-06-01,58
1000535,2018,2021-07-01,55
1000535,2018,2021-09-01,60
1000535,2018,2021-10-01,61
1000535,2018,2021-11-01,58
1000535,2018,2021-12-01,62
1000535,2018,2022-01-01,62
1000535,2018,2022-02-01,60
1000535,2018,2022-03-01,61
1000535,2018,2022-04-01,61
1000535,2018,2022-05-01,50
1000535,2018,2022-06-01,49
1000535,2018,2022-07-01,49
1000535,2018,2022-08-01,50
1000535,2018,2022-09-01,49
1000535,2018,2022-10-01,40
1000548,2011,2013-06-01,28
1000548,2011,2013-09-01,28
1000548,2011,2013-12-01,35
1000548,2011,2014-01-01,41
1000548,2011,2014-03-01,41
1000548,2011,2014-06-01,43
1000548,2011,2014-09-01,42
1000548,2011,2014-12-01,43
1000548,2011,2015-01-01,43
1000548,2011,2015-03-01,43
1000548,2011,2015-06-01,44
1000548,2011,2015-09-01,51
1000548,2011,2015-12-01,47
1000548,2011,2016-01-01,46
1000548,2011,2016-02-01,46
1000548,2011,2016-06-01,45
1000548,2011,2016-09-01,45
1000548,2011,2016-12-01,45
1000548,2011,2017-01-01,45
1000548,2011,2017-03-01,45
1000548,2011,2017-06-01,45
1000548,2011,2017-09-01,45
1000548,2011,2017-12-01,46
1000548,2011,2018-01-01,46
1000548,2011,2018-03-01,43
1000548,2011,2018-06-01,44
1000548,2011,2018-09-01,46
1000548,2011,2018-12-01,46
1000548,2011,2019-01-01,46
1000548,2011,2019-03-01,46
1000548,2011,2019-06-01,46
1000548,2011,2019-09-01,46
1000548,2011,2020-09-01,93
1000548,2011,2021-06-01,66
1000548,2011,2021-07-01,83
1000548,2011,2021-09-01,54
1000548,2011,2021-10-01,40
1000548,2011,2021-11-01,40
1000548,2011,2021-12-01,40
1000548,2011,2022-01-01,41
1000548,2011,2022-02-01,38
1000548,2011,2022-03-01,38
1000548,2011,2022-04-01,38
1000548,2011,2022-05-01,34
1000548,2011,2022-06-01,34
1000548,2011,2022-07-01,33
1000548,2011,2022-08-01,34
1000564,2011,2014-06-01,80
1000564,2011,2014-09-01,106
1000564,2011,2014-12-01,112
1000564,2011,2015-01-01,117
1000564,2011,2015-03-01,125
1000564,2011,2015-06-01,127
1000564,2011,2015-09-01,108
1000564,2011,2015-12-01,111
1000564,2011,2016-01-01,104
1000564,2011,2016-02-01,112
1000564,2011,2016-12-01,63
1000564,2011,2017-01-01,62
1000564,2011,2017-03-01,62
1000564,2011,2017-06-01,74
1000564,2011,2017-09-01,67
1000564,2011,2017-12-01,61
1000564,2011,2018-06-01,47
1000564,2011,2018-09-01,46
1000564,2011,2019-06-01,103
1000564,2011,2019-09-01,90
1000564,2011,2019-12-01,114
1000564,2011,2020-01-01,120
1000564,2011,2020-03-01,124
1000564,2011,2020-09-01,65
1000564,2011,2020-12-01,87
1000564,2011,2021-01-01,79
1000564,2011,2021-02-01,78
1000564,2011,2021-03-01,78
1000564,2011,2021-04-01,81
1000564,2014,2016-12-01,68
1000564,2014,2017-01-01,67
1000564,2014,2017-03-01,67
1000564,2014,2017-09-01,88
1000564,2014,2017-12-01,88
1000564,2014,2018-01-01,88
1000564,2014,2018-06-01,78
1000564,2014,2018-09-01,76
1000564,2014,2018-12-01,77
1000564,2014,2019-01-01,76
1000564,2014,2019-03-01,81
1000564,2014,2019-06-01,76
1000564,2014,2019-09-01,76
1000564,2014,2019-12-01,77
1000564,2014,2020-01-01,64
1000564,2014,2020-03-01,78
1000564,2014,2020-06-01,77
1000564,2014,2020-09-01,77
1000564,2014,2020-12-01,100
1000564,2014,2021-01-01,100
1000564,2014,2021-02-01,101
1000564,2014,2021-03-01,102
1000564,2014,2021-04-01,105
1000564,2014,2021-05-01,103
1000564,2014,2021-06-01,103
1000564,2014,2021-07-01,105
1000564,2014,2021-09-01,82
1000564,2014,2021-10-01,82
1000564,2014,2021-11-01,93
1000564,2014,2021-12-01,94
1000564,2014,2022-01-01,84
1000564,2014,2022-02-01,83
1000564,2012,2014-12-01,112
1000564,2012,2015-01-01,117
1000564,2012,2015-03-01,125
1000564,2012,2015-06-01,87
1000564,2012,2016-01-01,98
1000564,2012,2016-02-01,99
1000564,2012,2016-12-01,59
1000564,2012,2018-09-01,46
1000564,2012,2019-06-01,103
1000564,2012,2019-09-01,90
1000564,2012,2020-01-01,98
1000564,2012,2020-09-01,93
1000564,2012,2020-12-01,93
1000564,2012,2021-01-01,93
1000564,2012,2021-02-01,94
1000564,2012,2021-03-01,76
1000564,2012,2021-04-01,78
1000564,2012,2021-05-01,96
1000564,2012,2021-06-01,97
1000564,2012,2021-07-01,98
1000564,2012,2021-09-01,97
1000564,2012,2021-10-01,97
1000564,2012,2021-11-01,99
1000564,2012,2021-12-01,98
1000564,2012,2022-01-01,99
1000564,2012,2022-02-01,99
1000564,2012,2022-03-01,101
1000564,2012,2022-04-01,99
1000564,2012,2022-05-01,100
1000564,2012,2022-06-01,98
1000564,2012,2022-07-01,97
1000564,2012,2022-08-01,99
1000564,2012,2022-09-01,99
1000564,2012,2022-10-01,95
1000564,2007,2015-09-01,90
1000564,2007,2015-12-01,92
1000564,2007,2016-06-01,64
1000564,2007,2016-09-01,63
1000564,2007,2017-06-01,52
1000564,2007,2017-09-01,50
1000564,2007,2017-12-01,52
1000564,2007,2018-03-01,48
1000564,2007,2018-06-01,47
1000564,2007,2018-09-01,51
1000564,2007,2020-01-01,80
1000564,2007,2020-06-01,52
1000564,2007,2021-03-01,73
1000564,2007,2021-04-01,74
1000564,2007,2021-09-01,77
1000564,2008,2014-03-01,73
1000564,2008,2014-06-01,73
1000564,2008,2014-09-01,71
1000564,2008,2014-12-01,73
1000564,2008,2015-01-01,71
1000564,2008,2015-03-01,71
1000564,2008,2015-06-01,71
1000564,2008,2016-06-01,66
1000564,2008,2016-09-01,59
1000564,2008,2016-12-01,59
1000564,2008,2017-01-01,58
1000564,2008,2017-03-01,58
1000564,2008,2017-06-01,57
1000564,2008,2017-09-01,54
1000564,2008,2017-12-01,57
1000564,2008,2018-01-01,56
1000564,2008,2018-03-01,56
1000564,2008,2018-06-01,57
1000564,2008,2018-09-01,54
1000564,2008,2018-12-01,51
1000564,2008,2019-01-01,50
1000564,2008,2019-03-01,52
1000564,2008,2019-06-01,51
1000564,2008,2019-09-01,50
1000564,2008,2019-12-01,53
1000564,2008,2020-01-01,53
1000564,2008,2020-03-01,52
1000564,2008,2020-06-01,53
1000564,2008,2020-09-01,56
1000564,2008,2020-12-01,55
1000564,2008,2021-01-01,56
1000564,2008,2021-02-01,42
1000564,2008,2021-03-01,43
1000564,2008,2021-04-01,44
1000564,2008,2022-10-01,49
1000564,2009,2014-12-01,79
1000564,2009,2015-01-01,79
1000564,2009,2015-03-01,79
1000564,2009,2015-06-01,79
1000564,2009,2015-09-01,99
1000564,2009,2016-09-01,69
1000564,2009,2017-06-01,57
1000564,2009,2018-01-01,54
1000564,2009,2018-06-01,57
1000564,2009,2018-09-01,55
1000564,2009,2020-06-01,71
1000564,2009,2020-12-01,69
1000564,2009,2021-04-01,78
1000564,2009,2021-05-01,77
1000564,2009,2021-11-01,70
1000564,2009,2022-02-01,99
1000564,2009,2022-03-01,91
1000564,2009,2022-04-01,89
1000564,2009,2022-06-01,98
1000564,2009,2022-07-01,97
1000564,2009,2022-09-01,108
1000564,2009,2022-10-01,104
